latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
62.49,160.853,340.7,1.1,1,2016-06-08,0105,T,92,6.0NRT,299.1,44.6,D
62.486,160.873,317,1.1,1,2016-06-08,0105,T,67,6.0NRT,298.1,10.7,D
62.423,160.773,313.5,1.1,1,2016-06-08,0105,T,36,6.0NRT,297.2,6.7,D
62.419,160.793,319.7,1.1,1,2016-06-08,0105,T,53,6.0NRT,297.6,13,D
62.394,160.788,314.6,1.1,1,2016-06-08,0105,T,38,6.0NRT,298,7.9,D
62.443,160.463,328.6,1.1,1,2016-06-08,0105,T,84,6.0NRT,295.1,25.9,D
62.385,160.78,327.1,1.1,1,2016-06-08,0105,T,84,6.0NRT,297.8,21.6,D
62.38,160.753,342,1.1,1,2016-06-08,0105,T,92,6.0NRT,297.4,46.2,D
62.377,160.773,328,1.1,1,2016-06-08,0105,T,84,6.0NRT,297.8,22.7,D
62.375,160.725,323.1,1.1,1,2016-06-08,0105,T,81,6.0NRT,295.1,17.7,D
62.371,160.745,346.8,1.1,1,2016-06-08,0105,T,94,6.0NRT,297.2,57.8,D
62.366,160.718,339.6,1.1,1,2016-06-08,0105,T,91,6.0NRT,295.8,41.5,D
62.363,160.738,325.9,1.1,1,2016-06-08,0105,T,68,6.0NRT,296.5,19.7,D
62.369,160.537,315.1,1.1,1,2016-06-08,0105,T,54,6.0NRT,295.8,10.1,D
62.366,160.557,342.6,1.1,1,2016-06-08,0105,T,92,6.0NRT,297,49.4,D
62.362,160.577,322.2,1.1,1,2016-06-08,0105,T,75,6.0NRT,297,17.1,D
62.358,160.596,315.2,1.1,1,2016-06-08,0105,T,23,6.0NRT,297.7,9.8,D
62.351,160.636,343,1.1,1,2016-06-08,0105,T,93,6.0NRT,296.4,48.1,D
62.347,160.656,357,1.1,1,2016-06-08,0105,T,98,6.0NRT,296.8,83,D
62.346,160.609,341.8,1.1,1,2016-06-08,0105,T,92,6.0NRT,293.9,47.3,D
62.342,160.629,322.5,1.1,1,2016-06-08,0105,T,35,6.0NRT,293.5,16.8,D
60.965,164.64,318.6,1.5,1.2,2016-06-08,0105,T,69,6.0NRT,282.6,30.4,D
62.1,153.959,306.7,1,1,2016-06-08,0105,T,61,6.0NRT,278.2,7.7,D
59.521,150.686,321.4,1.1,1,2016-06-08,0105,T,0,6.0NRT,290.1,20.1,D
56.639,161.321,307.9,1.6,1.2,2016-06-08,0105,T,0,6.0NRT,280,23.2,D
